customer_unique_id,customer_city,customer_state,total_orders,total_spent,average_order_value,first_purchase,last_purchase,average_delivery_days,cancelled_orders,delay_percentage
0000366f3b9a7992bf8c76cfdf3221e2,Cajamar,SP,1,141.90,141.90,"2018-05-10 10:56:27","2018-05-10 10:56:27",6.00,0,0.00
0000b849f77a49e4a4ce2b2a4ca5be3f,Osasco,SP,1,27.19,27.19,"2018-05-07 11:11:27","2018-05-07 11:11:27",3.00,0,0.00
0000f46a3911fa3c0805444483337064,"Sao Jose",SC,1,86.22,86.22,"2017-03-10 21:05:03","2017-03-10 21:05:03",25.00,0,0.00
0000f6ccb0745a6a4b88665a16c9f078,Belem,PA,1,43.62,43.62,"2017-10-12 20:29:41","2017-10-12 20:29:41",20.00,0,0.00
0004aac84e0df4da2b147fca70cf8255,Sorocaba,SP,1,196.89,196.89,"2017-11-14 19:45:42","2017-11-14 19:45:42",13.00,0,0.00
0004bd2a26a76fe21f786e4fbd80607f,"Sao Paulo",SP,1,166.98,166.98,"2018-04-05 19:33:16","2018-04-05 19:33:16",1.00,0,0.00
00050ab1314c0e55a6ca13cf7181fecf,Campinas,SP,1,35.38,35.38,"2018-04-20 12:57:23","2018-04-20 12:57:23",6.00,0,0.00
00053a61a98854899e70ed204dd4bafe,Curitiba,PR,1,419.18,419.18,"2018-02-28 11:15:41","2018-02-28 11:15:41",16.00,0,0.00
0005e1862207bf6ccc02e4228effd9a0,Teresopolis,RJ,1,150.12,150.12,"2017-03-04 23:32:12","2017-03-04 23:32:12",4.00,0,0.00
0005ef4cd20d2893f0d9fbd94d3c0d97,"Sao Luis",MA,1,129.76,129.76,"2018-03-12 15:22:12","2018-03-12 15:22:12",53.00,0,100.00
0006fdc98a402fceb4eb0ee528f6a8d4,"Mimoso Do Sul",ES,1,29.00,29.00,"2017-07-18 09:23:10","2017-07-18 09:23:10",16.00,0,0.00
00082cbe03e478190aadbea78542e933,Itapeva,SP,1,126.26,126.26,"2017-11-19 15:22:02","2017-11-19 15:22:02",10.00,0,0.00
00090324bbad0e9342388303bb71ba0a,Campinas,SP,1,63.66,63.66,"2018-03-24 14:44:41","2018-03-24 14:44:41",15.00,0,0.00
000949456b182f53c18b68d6babc79c1,"Sao Bernardo Do Campo",SP,1,82.05,82.05,"2018-04-23 09:55:46","2018-04-23 09:55:46",7.00,0,0.00
000a5ad9c4601d2bbdd9ed765d5213b3,"Porto Alegre",RS,1,91.28,91.28,"2017-08-11 13:45:15","2017-08-11 13:45:15",11.00,0,0.00
000bfa1d2f1a41876493be685390d6d3,Santos,SP,1,46.85,46.85,"2017-09-29 14:46:58","2017-09-29 14:46:58",13.00,0,0.00
000c8bdb58a29e7115cfc257230fb21b,"Belo Horizonte",MG,1,29.00,29.00,"2017-12-12 22:53:35","2017-12-12 22:53:35",14.00,0,0.00
000d460961d6dbfa3ec6c9f5805769e1,"Sao Paulo",SP,1,36.68,36.68,"2018-01-07 22:59:25","2018-01-07 22:59:25",3.00,0,0.00
000de6019bb59f34c099a907c151d855,"Sao Sebastiao",SP,1,257.44,257.44,"2017-08-17 19:10:33","2017-08-17 19:10:33",4.00,0,0.00
000e309254ab1fc5ba99dd469d36bdb4,"Valparaiso De Goias",GO,1,78.42,39.21,"2018-06-25 09:53:57","2018-06-25 09:53:57",14.00,0,0.00
000ec5bff359e1c0ad76a81a45cb598f,"Salto De Pirapora",SP,1,27.75,27.75,"2018-08-21 11:34:26","2018-08-21 11:34:26",6.00,0,0.00
000ed48ceeb6f4bf8ad021a10a3c7b43,"Sao Paulo",SP,1,20.75,20.75,"2018-05-20 16:26:06","2018-05-20 16:26:06",2.00,0,0.00
000fbf0473c10fc1ab6f8d2d286ce20c,Indaiatuba,SP,1,362.38,362.38,"2018-07-26 09:43:52","2018-07-26 09:43:52",8.00,0,0.00
0010a452c6d13139e50b57f19f52e04e,Taquara,RS,1,325.93,325.93,"2017-07-11 11:22:43","2017-07-11 11:22:43",14.00,0,0.00
0010fb34b966d44409382af9e8fd5b77,"Sao Paulo",SP,1,61.80,61.80,"2018-03-05 17:08:53","2018-03-05 17:08:53",22.00,0,100.00
001147e649a7b1afd577e873841632dd,Maringa,PR,1,212.16,212.16,"2017-08-31 17:12:56","2017-08-31 17:12:56",8.00,0,0.00
00115fc7123b5310cf6d3a3aa932699e,Brasilia,DF,1,76.11,76.11,"2017-01-21 21:58:35","2017-01-21 21:58:35",10.00,0,0.00
0011805441c0d1b68b48002f1d005526,"Goianesia Do Para",PA,1,297.14,297.14,"2017-04-24 13:36:48","2017-04-24 13:36:48",18.00,0,0.00
0011857aff0e5871ce5eb429f21cdaf5,"Santo Andre",SP,1,192.83,192.83,"2017-06-28 11:08:38","2017-06-28 11:08:38",8.00,0,0.00
0011c98589159d6149979563c504cb21,"Campos Altos",MG,1,117.94,117.94,"2017-08-05 14:08:47","2017-08-05 14:08:47",11.00,0,0.00
0012929d977a8d7280bb277c1e5f589d,Canoas,RS,1,155.65,155.65,"2017-10-17 15:46:36","2017-10-17 15:46:36",7.00,0,0.00
